Game of Life
10,10
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,alive,dead,dead,dead,dead,dead
dead,dead,dead,dead,alive,dead,dead,dead,dead,dead
dead,dead,dead,dead,alive,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
